epoch,step,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step
47,3791,0.7095999717712402,,0.9284089803695679,
48,3799,,0.75,,0.8955312371253967
48,3849,,0.625,,1.1323987245559692
48,3870,0.717199981212616,,0.8915491104125977,
49,3899,,0.78125,,0.7318366765975952
49,3949,,0.25,,3.023611545562744
49,3949,0.7307999730110168,,0.8792341947555542,
50,3999,,0.78125,,0.827595591545105
50,4028,0.7368000149726868,,0.8418868184089661,
51,4049,,0.8125,,0.7553774118423462
51,4099,,0.65625,,0.9005452394485474
51,4107,0.746399998664856,,0.8219627737998962,
52,4149,,0.90625,,0.5774403214454651
52,4186,0.7559999823570251,,0.7959160804748535,
53,4199,,0.8125,,0.8244343400001526
53,4249,,0.625,,1.091980218887329
53,4265,0.7616000175476074,,0.7842835187911987,
54,4299,,0.75,,0.8387338519096375
54,4344,0.7712000012397766,,0.7555983662605286,
55,4349,,0.84375,,0.6851290464401245
55,4399,,0.84375,,0.7532653212547302
55,4423,0.7720000147819519,,0.741651713848114,
56,4449,,0.875,,0.7490976452827454
56,4499,,0.84375,,0.48417508602142334
56,4502,0.7815999984741211,,0.7209089398384094,
57,4549,,0.78125,,0.6862256526947021
57,4581,0.7879999876022339,,0.6960225105285645,
58,4599,,0.78125,,0.7383487820625305
58,4649,,0.6875,,0.8998372554779053
58,4660,0.7983999848365784,,0.6734336018562317,
59,4699,,0.78125,,0.6990171670913696
59,4739,0.8131999969482422,,0.6505705714225769,
60,4749,,0.8125,,0.4900835454463959
60,4799,,0.84375,,0.53079754114151
60,4818,0.8064000010490417,,0.6377277374267578,
61,4849,,0.8125,,0.57937091588974
61,4897,0.8087999820709229,,0.6243911385536194,
62,4899,,0.90625,,0.535057544708252
62,4949,,0.875,,0.5366641879081726
62,4976,0.8176000118255615,,0.6152857542037964,
63,4999,,0.84375,,0.5419483184814453
63,5049,,0.78125,,0.5398961901664734
63,5055,0.8320000171661377,,0.5910756587982178,
64,5099,,0.8125,,0.7413036823272705
64,5134,0.8252000212669373,,0.5878325700759888,
65,5149,,0.8125,,0.4960644841194153
65,5199,,0.75,,0.7753746509552002
65,5213,0.8259999752044678,,0.6013145446777344,
66,5249,,0.84375,,0.5452892184257507
66,5292,0.8443999886512756,,0.5404596924781799,
67,5299,,0.84375,,0.45663386583328247
67,5349,,0.9375,,0.4300247132778168
67,5371,0.8456000089645386,,0.5248232483863831,
68,5399,,0.84375,,0.54563969373703
68,5449,,0.875,,0.5188466906547546
68,5450,0.8539999723434448,,0.5092960596084595,
69,5499,,0.84375,,0.5277912020683289
69,5529,0.8600000143051147,,0.4951484799385071,
70,5549,,0.875,,0.5100632905960083
70,5599,,0.84375,,0.45851171016693115
70,5608,0.8583999872207642,,0.4882885813713074,
71,5649,,0.96875,,0.3327968716621399
71,5687,0.8672000169754028,,0.47550341486930847,
72,5699,,0.9375,,0.4604012072086334
72,5749,,0.96875,,0.3295275866985321
72,5766,0.8776000142097473,,0.4463227391242981,
73,5799,,0.84375,,0.6696937680244446
73,5845,0.876800000667572,,0.44508257508277893,
74,5849,,0.90625,,0.3673481345176697
74,5899,,0.78125,,0.6557748913764954
74,5924,0.8723999857902527,,0.4421171247959137,
75,5949,,0.8125,,0.6039701700210571
75,5999,,0.96875,,0.25168612599372864
75,6003,0.878000020980835,,0.427045077085495,
76,6049,,0.90625,,0.42766717076301575
76,6082,0.873199999332428,,0.42885303497314453,
77,6099,,0.78125,,0.49552854895591736
77,6149,,0.9375,,0.40156081318855286
77,6161,0.878000020980835,,0.4087355434894562,
78,6199,,0.71875,,0.6683564186096191
78,6240,0.8944000005722046,,0.39689934253692627,
79,6249,,0.90625,,0.3821909427642822
79,6299,,0.90625,,0.2900276482105255
79,6319,0.8956000208854675,,0.3737431764602661,
80,6349,,0.9375,,0.30515170097351074
80,6398,0.8996000289916992,,0.3612671494483948,
81,6399,,0.90625,,0.3955174386501312
81,6449,,0.875,,0.3640914261341095
81,6477,0.9016000032424927,,0.3580227196216583,
82,6499,,0.875,,0.2854037880897522
82,6549,,0.90625,,0.3812958896160126
82,6556,0.9139999747276306,,0.33976608514785767,
83,6599,,0.90625,,0.2931229770183563
83,6635,0.9200000166893005,,0.31710997223854065,
84,6649,,0.9375,,0.37448129057884216
84,6699,,0.84375,,0.4035780131816864
84,6714,0.8880000114440918,,0.3809516429901123,
85,6749,,0.90625,,0.3001328110694885
85,6793,0.9115999937057495,,0.321787565946579,
86,6799,,0.90625,,0.24693986773490906
86,6849,,0.90625,,0.3452366888523102
86,6872,0.9179999828338623,,0.30327510833740234,
87,6899,,0.9375,,0.26019951701164246
87,6949,,0.9375,,0.29859644174575806
87,6951,0.920799970626831,,0.2943595051765442,
88,6999,,1.0,,0.12585140764713287
88,7030,0.9172000288963318,,0.29692888259887695,
89,7049,,0.875,,0.5100327134132385
89,7099,,0.9375,,0.32414668798446655
89,7109,0.9172000288963318,,0.29330113530158997,
90,7149,,0.96875,,0.19563394784927368
90,7188,0.9175999760627747,,0.3110121190547943,
91,7199,,0.90625,,0.29339611530303955
91,7249,,0.90625,,0.27129220962524414
91,7267,0.9291999936103821,,0.2678470313549042,
92,7299,,0.9375,,0.2509602904319763
92,7346,0.9291999936103821,,0.26865729689598083,
93,7349,,0.9375,,0.2625957131385803
93,7399,,0.96875,,0.18723231554031372
93,7425,0.9372000098228455,,0.24085432291030884,
94,7449,,0.96875,,0.16523532569408417
94,7499,,0.9375,,0.2061573565006256
94,7504,0.9383999705314636,,0.23497216403484344,
95,7549,,0.96875,,0.1704414337873459
95,7583,0.9376000165939331,,0.24175405502319336,
96,7599,,1.0,,0.106320820748806
96,7649,,1.0,,0.0998220220208168
96,7662,0.9556000232696533,,0.20696474611759186,
97,7699,,0.9375,,0.188289076089859
97,7741,0.9480000138282776,,0.21348576247692108,
98,7749,,0.9375,,0.2710266411304474
98,7799,,0.90625,,0.21028731763362885
98,7820,0.9448000192642212,,0.22999760508537292,
99,7849,,0.96875,,0.25014743208885193
99,7899,,1.0,,0.4495510160923004
99,7899,0.9455999732017517,,0.21190397441387177,
